market_id,last_price,ma_7d,price_trend_7d,vol_7d,vol_30d,age_days,time_to_resolution_days,category,y,snapshot_offset_days
684959,0.9995,,,,,10.0,3.0,,1,3
684959,0.9995,,,,,12.0,1.0,,1,1
721559,0.0005,,,,,-6.0,7.0,,1,7
721559,0.0005,,,,,-2.0,3.0,,1,3
721559,0.0005,,,,,0.0,1.0,,1,1
697288,0.9995,,,,,0.0,7.0,,1,7
697288,0.9995,,,,,4.0,3.0,,1,3
697288,0.9995,,,,,6.0,1.0,,1,1
512683,0.999,,,,,3.0,7.0,,1,7
512683,0.999,,,,,7.0,3.0,,1,3
512683,0.999,,,,,9.0,1.0,,1,1
698690,0.9995,,,,,-1.0,7.0,,1,7
698690,0.9995,,,,,3.0,3.0,,1,3
698690,0.9995,,,,,5.0,1.0,,1,1
698694,0.9995,,,,,-2.0,7.0,,1,7
698694,0.9995,,,,,2.0,3.0,,1,3
698694,0.9995,,,,,4.0,1.0,,1,1
684966,0.0005,,,,,6.0,7.0,,1,7
684966,0.0005,,,,,10.0,3.0,,1,3
684966,0.0005,,,,,12.0,1.0,,1,1
684984,0.9995,,,,,6.0,7.0,,1,7
684984,0.9995,,,,,10.0,3.0,,1,3
684984,0.9995,,,,,12.0,1.0,,1,1
713315,0.0005,,,,,-5.0,7.0,,1,7
713315,0.0005,,,,,-1.0,3.0,,1,3
713315,0.0005,,,,,1.0,1.0,,1,1
685009,0.9995,,,,,6.0,7.0,,1,7
685009,0.9995,,,,,10.0,3.0,,1,3
685009,0.9995,,,,,12.0,1.0,,1,1
721557,0.9995,,,,,-6.0,7.0,,1,7
721557,0.9995,,,,,-2.0,3.0,,1,3
721557,0.9995,,,,,0.0,1.0,,1,1
659918,0.0005,,,,,20.0,7.0,,1,7
659918,0.0005,,,,,24.0,3.0,,1,3
659918,0.0005,,,,,26.0,1.0,,1,1
698759,0.9995,,,,,-1.0,7.0,,1,7
698759,0.9995,,,,,3.0,3.0,,1,3
698759,0.9995,,,,,5.0,1.0,,1,1
699121,0.996,,,,,-1.0,7.0,,1,7
699121,0.996,,,,,3.0,3.0,,1,3
699121,0.996,,,,,5.0,1.0,,1,1
512681,1.0,,,,,2.0,7.0,,1,7
512681,1.0,,,,,6.0,3.0,,1,3
512681,1.0,,,,,8.0,1.0,,1,1
698786,0.9995,,,,,-1.0,7.0,,1,7
698786,0.9995,,,,,3.0,3.0,,1,3
698786,0.9995,,,,,5.0,1.0,,1,1
698730,0.9995,,,,,-1.0,7.0,,1,7
698730,0.9995,,,,,3.0,3.0,,1,3
698730,0.9995,,,,,5.0,1.0,,1,1
721554,0.0005,,,,,-6.0,7.0,,1,7
721554,0.0005,,,,,-2.0,3.0,,1,3
721554,0.0005,,,,,0.0,1.0,,1,1
684963,0.0035,,,,,6.0,7.0,,1,7
684963,0.0035,,,,,10.0,3.0,,1,3
684963,0.0035,,,,,12.0,1.0,,1,1
684999,0.0005,,,,,6.0,7.0,,1,7
684999,0.0005,,,,,10.0,3.0,,1,3
684999,0.0005,,,,,12.0,1.0,,1,1
723898,0.9995,,,,,-6.0,7.0,,1,7
723898,0.9995,,,,,-2.0,3.0,,1,3
723898,0.9995,,,,,0.0,1.0,,1,1
721558,0.0005,,,,,-6.0,7.0,,1,7
721558,0.0005,,,,,-2.0,3.0,,1,3
721558,0.0005,,,,,0.0,1.0,,1,1
685012,0.9995,,,,,6.0,7.0,,1,7
685012,0.9995,,,,,10.0,3.0,,1,3
685012,0.9995,,,,,12.0,1.0,,1,1
697289,0.0005,,,,,0.0,7.0,,1,7
697289,0.0005,,,,,4.0,3.0,,1,3
697289,0.0005,,,,,6.0,1.0,,1,1
708812,0.9995,,,,,-5.0,7.0,,1,7
708812,0.9995,,,,,-1.0,3.0,,1,3
708812,0.9995,,,,,1.0,1.0,,1,1
721556,0.9995,,,,,-6.0,7.0,,1,7
721556,0.9995,,,,,-2.0,3.0,,1,3
721556,0.9995,,,,,0.0,1.0,,1,1
685006,0.0005,,,,,6.0,7.0,,1,7
685006,0.0005,,,,,10.0,3.0,,1,3
685006,0.0005,,,,,12.0,1.0,,1,1
716416,0.0005,,,,,-5.0,7.0,,1,7
716416,0.0005,,,,,-1.0,3.0,,1,3
716416,0.0005,,,,,1.0,1.0,,1,1
727825,0.495,,,,,-6.0,7.0,,1,7
727825,0.495,,,,,-2.0,3.0,,1,3
727825,0.495,,,,,0.0,1.0,,1,1
698738,0.0035,,,,,-1.0,7.0,,1,7
698738,0.0035,,,,,3.0,3.0,,1,3
698738,0.0035,,,,,5.0,1.0,,1,1
727830,0.94,,,,,-6.0,7.0,,1,7
727830,0.94,,,,,-2.0,3.0,,1,3
727830,0.94,,,,,0.0,1.0,,1,1
711678,0.0005,,,,,-5.0,7.0,,1,7
711678,0.0005,,,,,-1.0,3.0,,1,3
711678,0.0005,,,,,1.0,1.0,,1,1
698760,0.0005,,,,,-1.0,7.0,,1,7
698760,0.0005,,,,,3.0,3.0,,1,3
698760,0.0005,,,,,5.0,1.0,,1,1
727500,0.495,,,,,-6.0,7.0,,1,7
727500,0.495,,,,,-2.0,3.0,,1,3
727500,0.495,,,,,0.0,1.0,,1,1
728676,0.505,,,,,-6.0,7.0,,1,7
728676,0.505,,,,,-2.0,3.0,,1,3
728676,0.505,,,,,0.0,1.0,,1,1
697060,0.9995,,,,,0.0,7.0,,1,7
697060,0.9995,,,,,4.0,3.0,,1,3
697060,0.9995,,,,,6.0,1.0,,1,1
699987,0.9995,,,,,-2.0,7.0,,1,7
699987,0.9995,,,,,2.0,3.0,,1,3
699987,0.9995,,,,,4.0,1.0,,1,1
728679,0.005,,,,,-6.0,7.0,,1,7
728679,0.005,,,,,-2.0,3.0,,1,3
728679,0.005,,,,,0.0,1.0,,1,1
698798,0.0005,,,,,-1.0,7.0,,1,7
698798,0.0005,,,,,3.0,3.0,,1,3
698798,0.0005,,,,,5.0,1.0,,1,1
716391,0.0005,,,,,-5.0,7.0,,1,7
716391,0.0005,,,,,-1.0,3.0,,1,3
716391,0.0005,,,,,1.0,1.0,,1,1
733157,0.0005,,,,,-6.0,7.0,,1,7
733157,0.0005,,,,,-2.0,3.0,,1,3
733157,0.0005,,,,,0.0,1.0,,1,1
712076,0.9995,,,,,-5.0,7.0,,1,7
712076,0.9995,,,,,-1.0,3.0,,1,3
712076,0.9995,,,,,1.0,1.0,,1,1
696913,0.0005,,,,,0.0,7.0,,1,7
696913,0.0005,,,,,4.0,3.0,,1,3
696913,0.0005,,,,,6.0,1.0,,1,1
684953,0.9695,,,,,6.0,7.0,,1,7
684953,0.9695,,,,,10.0,3.0,,1,3
684953,0.9695,,,,,12.0,1.0,,1,1
684957,0.175,,,,,6.0,7.0,,1,7
